"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 18 10:30:53 GMT 2023","Sat Nov 18 10:30:53 GMT 2023","14","Surefire suite","Surefire test","my.company.SimpleTest","my.company.SimpleTest","simpleTestOne","simpleTestOne",""
"passed","Sat Nov 18 10:30:53 GMT 2023","Sat Nov 18 10:30:53 GMT 2023","0","Surefire suite","Surefire test","my.company.SimpleTest","my.company.SimpleTest","simpleTestTwo","simpleTestTwo",""
